,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20431,Santa María Tecomavaca,NO," 1,830 ", 485 , 56.8 ," 1,040 ", 15.85 , 290 , 20.95 , 384 , 15.09 , 276 , 78.72 ," 1,441 ", 24.60 , 450 , 67.33 ," 1,233 ", 19.90 , 364 , 58.30 ," 1,067 ", 23.89 , 437 ,Bajo, 6.95 , 3.04 , 40.95 , 16.23 , 14.64 , 4.33 , 3.09 , 8.87 , 0.41 , 46.80 , 23.51 ,Medio, 6.9 , 41.0 , 3.1 , 0.3 , 2.4 , 15.4 , 25.6 , 100.0 , 90.5 , 2.47 , 0.62 ," 3,661,798 "
20432,Santa María Temaxcalapa,NO, 903 , 299 , 69.6 , 629 , 11.68 , 105 , 29.53 , 267 , 18.13 , 164 , 32.27 , 291 , 6.96 , 63 , 29.76 , 269 , 30.67 , 277 , 87.79 , 793 , 53.71 , 485 ,Bajo, 7.41 , 1.87 , 57.61 , 18.49 , 5.02 , -   , -   , -   , 0.33 , 78.60 , 27.09 ,Bajo, 7.4 , 57.6 , -   , 0.1 , -   , 4.5 , 19.4 , 100.0 , 92.9 , 0.33 , -   ," 4,405,775 "
20433,Santa María Temaxcaltepec,NO," 2,694 ", 621 , 91.8 ," 2,474 ", 47.57 ," 1,282 ", 50.90 ," 1,372 ", 19.32 , 521 , 95.65 ," 2,578 ", 31.47 , 848 , 96.08 ," 2,589 ", 21.85 , 589 , 91.82 ," 2,474 ", 62.53 ," 1,685 ",Muy alto, 31.02 , 13.99 , 78.26 , 19.71 , 19.65 , 0.48 , 1.45 , 74.07 , 6.12 , 93.08 , 55.39 ,Muy alto, 31.0 , 78.3 , 0.3 , 5.5 , 1.1 , 19.6 , 41.2 , 100.0 , 94.9 , 16.02 , 0.49 ," 10,263,470 "
20434,Santa María Teopoxco,NO," 3,985 "," 1,126 ", 94.4 ," 3,765 ", 35.18 ," 1,403 ", 41.64 ," 1,660 ", 6.22 , 248 , 77.57 ," 3,093 ", 25.27 ," 1,008 ", 52.85 ," 2,107 ", 27.51 ," 1,097 ", 97.48 ," 3,886 ", 81.42 ," 3,246 ",Alto, 31.49 , 3.76 , 71.06 , 6.37 , 14.39 , 1.51 , 1.69 , 15.28 , 0.53 , 90.94 , 68.83 ,Alto, 31.5 , 71.1 , 0.9 , 0.5 , 1.3 , 15.6 , 30.4 , 100.0 , 96.8 , 3.37 , 2.48 ," 12,514,565 "
20435,Santa María Tepantlali,NO," 3,576 ", 916 , 88.1 ," 3,152 ", 33.22 ," 1,189 ", 46.52 ," 1,664 ", 18.99 , 680 , 78.42 ," 2,806 ", 33.03 ," 1,182 ", 74.31 ," 2,659 ", 9.03 , 323 , 89.39 ," 3,198 ", 56.92 ," 2,036 ",Muy alto, 31.17 , 11.82 , 68.29 , 19.52 , 26.64 , 2.18 , 0.98 , 43.78 , 3.60 , 87.34 , 77.07 ,Muy alto, 31.2 , 68.3 , 2.0 , 2.9 , 0.5 , 27.0 , 34.8 , 100.0 , 88.1 , 4.24 , 2.07 ," 15,290,073 "
20436,Santa María Texcatitlán,NO, 896 , 291 , 91.3 , 818 , 30.58 , 274 , 37.51 , 336 , 2.37 , 21 , 22.03 , 197 , 23.28 , 209 , 97.06 , 870 , 58.42 , 523 , 92.84 , 832 , 65.48 , 587 ,Muy alto, 25.12 , 3.27 , 69.30 , 2.46 , 14.09 , 3.78 , 68.38 , 91.07 , 2.41 , 78.35 , 64.26 ,Muy alto, 25.1 , 69.3 , 3.7 , 1.5 , 64.7 , 12.4 , 22.7 , 100.0 , 98.1 , 22.60 , 0.34 ," 4,822,264 "
20437,Santa María Tlahuitoltepec,NO," 9,653 "," 2,442 ", 90.7 ," 8,757 ", 43.33 ," 4,185 ", 32.09 ," 3,099 ", 27.17 ," 2,624 ", 84.84 ," 8,193 ", 36.31 ," 3,507 ", 84.83 ," 8,192 ", 20.30 ," 1,961 ", 91.85 ," 8,870 ", 63.32 ," 6,115 ",Muy alto, 23.85 , 3.91 , 52.20 , 27.67 , 29.73 , 2.09 , 2.05 , 73.34 , 3.15 , 86.69 , 74.37 ,Alto, 23.9 , 52.2 , 1.5 , 2.2 , 1.5 , 28.8 , 30.0 , 100.0 , 82.4 , 6.18 , 0.74 ," 41,488,194 "
20438,Santa María Tlalixtac,NO," 1,839 ", 470 , 92.9 ," 1,709 ", 38.20 , 703 , 40.54 , 746 , 14.14 , 260 , 86.89 ," 1,599 ", 35.63 , 656 , 28.79 , 530 , 49.09 , 903 , 94.74 ," 1,743 ", 70.81 ," 1,303 ",Alto, 23.71 , 3.84 , 61.36 , 13.97 , 19.36 , 1.70 , 1.49 , 15.53 , 1.70 , 72.34 , 48.30 ,Alto, 23.7 , 61.5 , 1.2 , 0.8 , 0.8 , 19.8 , 41.5 , 100.0 , 91.8 , 6.38 , 0.21 ," 6,507,148 "
20439,Santa María Tonameca,NO," 25,347 "," 6,441 ", 59.4 ," 14,138 ", 19.72 ," 4,695 ", 37.42 ," 8,907 ", 32.05 ," 7,628 ", 89.34 ," 21,267 ", 30.32 ," 7,219 ", 76.42 ," 18,191 ", 36.50 ," 8,689 ", 59.63 ," 14,195 ", 24.49 ," 5,831 ",Alto, 17.25 , 9.70 , 58.03 , 25.99 , 24.42 , 5.00 , 12.08 , 24.42 , 4.89 , 67.57 , 30.00 ,Alto, 17.3 , 58.1 , 4.0 , 4.6 , 12.9 , 25.2 , 40.1 , 100.0 , 85.7 , 10.32 , 4.59 ," 57,214,960 "
20440,Santa María Totolapilla,NO, 812 , 294 , 77.4 , 629 , 10.19 , 83 , 34.77 , 282 , 10.62 , 86 , 57.27 , 465 , 13.27 , 108 , 25.16 , 204 , 34.77 , 282 , 82.52 , 670 , 40.57 , 329 ,Medio, 17.94 , 2.75 , 58.66 , 10.10 , 5.44 , 2.72 , 3.06 , 4.76 , 1.70 , 63.95 , 27.21 ,Alto, 17.9 , 58.7 , 2.6 , 1.5 , 2.9 , 6.2 , 19.4 , 100.0 , 91.5 , -   , 0.68 ," 3,177,705 "
20441,Santa María Xadani,NO," 9,234 "," 2,210 ", 83.6 ," 7,727 ", 31.51 ," 2,911 ", 42.01 ," 3,881 ", 24.85 ," 2,296 ", 86.31 ," 7,974 ", 30.44 ," 2,812 ", 65.10 ," 6,014 ", 34.37 ," 3,175 ", 85.12 ," 7,863 ", 42.79 ," 3,953 ",Medio, 22.51 , 10.31 , 66.06 , 15.55 , 4.71 , 3.44 , 6.43 , 2.76 , 1.49 , 53.44 , 31.54 ,Medio, 22.5 , 66.1 , 1.9 , 0.8 , 5.9 , 4.6 , 37.2 , 6.5 , 71.2 , 0.97 , 0.28 ," 19,617,870 "
20442,Santa María Yalina,NO, 250 , 83 , 89.8 , 225 , 4.80 , 12 , 25.30 , 63 , 7.63 , 19 , 82.33 , 206 , 16.47 , 41 , 2.41 , 6 , -   , -   , 94.16 , 235 , 71.93 , 180 ,Bajo, 6.70 , 3.33 , 62.89 , 7.60 , 10.84 , -   , 2.41 , -   , -   , 63.86 , 30.12 ,Medio, 6.7 , 62.9 , -   , -   , 2.0 , 9.6 , 27.7 , 100.0 , 100.0 , -   , -   ," 4,594,237 "
20443,Santa María Yavesía,NO, 434 , 146 , 71.6 , 311 , 6.22 , 27 , 9.81 , 43 , 3.97 , 17 , 78.27 , 340 , 10.98 , 48 , 27.34 , 119 , 12.15 , 53 , 77.56 , 337 , 40.22 , 175 ,Bajo, 1.52 , 6.35 , 44.85 , 3.92 , 7.53 , 1.37 , -   , 5.48 , 0.68 , 33.56 , 17.81 ,Bajo, 1.5 , 44.8 , 0.5 , 0.5 , -   , 6.7 , 15.8 , 100.0 , 95.0 , 0.68 , -   ," 5,896,602 "
20444,Santa María Yolotepec,NO, 481 , 155 , 92.8 , 446 , 46.08 , 222 , 19.83 , 95 , 46.14 , 222 , 78.71 , 379 , 15.45 , 74 , 85.80 , 413 , 30.06 , 145 , 94.09 , 453 , 72.29 , 348 ,Medio, 8.08 , 6.74 , 53.89 , 47.19 , 7.74 , 1.94 , 4.52 , 53.55 , 3.23 , 58.06 , 54.19 ,Medio, 8.1 , 53.9 , 1.0 , 1.9 , 2.7 , 7.7 , 23.9 , 100.0 , 92.5 , -   , -   ," 2,746,491 "
20445,Santa María Yosoyúa,NO," 1,699 ", 378 , 89.8 ," 1,526 ", 20.96 , 356 , 20.75 , 353 , 6.49 , 110 , 60.37 ," 1,026 ", 21.41 , 364 , 86.47 ," 1,470 ", 7.88 , 134 , 93.02 ," 1,581 ", 66.83 ," 1,136 ",Alto, 14.38 , 0.32 , 38.99 , 6.53 , 11.90 , 1.32 , 1.32 , 76.46 , 1.06 , 86.77 , 63.23 ,Medio, 14.4 , 39.1 , 0.5 , 0.4 , 0.5 , 10.6 , 32.0 , 100.0 , 88.3 , 1.06 , -   ," 6,084,378 "
20446,Santa María Yucuhiti,NO," 6,008 "," 1,650 ", 89.4 ," 5,372 ", 38.64 ," 2,323 ", 21.27 ," 1,278 ", 12.69 , 763 , 72.60 ," 4,364 ", 24.65 ," 1,482 ", 88.32 ," 5,309 ", 50.34 ," 3,026 ", 90.40 ," 5,434 ", 60.44 ," 3,633 ",Alto, 11.87 , 1.80 , 48.87 , 12.98 , 13.03 , 0.67 , 6.91 , 60.61 , 1.27 , 80.55 , 67.70 ,Alto, 11.9 , 48.9 , 0.4 , 1.1 , 6.7 , 12.8 , 31.0 , 100.0 , 95.5 , 1.27 , 1.03 ," 18,650,114 "
20447,Santa María Zacatepec,SI," 17,100 "," 4,417 ", 85.7 ," 14,927 ", 36.91 ," 6,426 ", 36.07 ," 6,280 ", 35.10 ," 6,110 ", 87.69 ," 15,267 ", 18.14 ," 3,157 ", 81.30 ," 14,154 ", 35.83 ," 6,238 ", 86.22 ," 15,011 ", 56.00 ," 9,749 ",Medio, 16.95 , 6.03 , 59.74 , 26.98 , 13.76 , 4.03 , 2.11 , 6.27 , 2.74 , 59.95 , 22.50 ,Alto, 17.0 , 59.8 , 3.0 , 2.3 , 1.8 , 14.1 , 34.6 , 65.1 , 90.8 , 1.09 , 0.62 ," 36,491,172 "
20448,Santa María Zaniza,SI," 2,469 ", 504 , 98.4 ," 2,430 ", 67.70 ," 1,672 ", 33.10 , 818 , 4.18 , 103 , 95.29 ," 2,354 ", 58.38 ," 1,442 ", 92.50 ," 2,285 ", 45.06 ," 1,113 ", 98.39 ," 2,430 ", 82.37 ," 2,034 ",Muy alto, 14.94 , 4.80 , 60.95 , 4.17 , 43.85 , 0.60 , 0.60 , 53.97 , 2.98 , 94.05 , 81.75 ,Muy alto, 14.9 , 60.9 , 0.3 , 2.2 , 0.3 , 45.5 , 60.9 , 100.0 , 99.5 , -   , 1.19 ," 9,052,607 "
20449,Santa María Zoquitlán,NO," 3,294 "," 1,030 ", 80.6 ," 2,655 ", 23.39 , 771 , 38.26 ," 1,261 ", 21.13 , 696 , 80.43 ," 2,651 ", 27.73 , 914 , 67.63 ," 2,229 ", 6.99 , 230 , 81.37 ," 2,682 ", 41.42 ," 1,365 ",Medio, 14.01 , 9.25 , 68.91 , 21.89 , 14.85 , 4.27 , 5.83 , 10.68 , 1.65 , 35.24 , 16.12 ,Alto, 14.0 , 68.9 , 2.9 , 0.8 , 4.8 , 13.2 , 26.8 , 100.0 , 86.1 , 2.25 , 0.49 ," 7,673,866 "
20450,Santiago Amoltepec,SI," 13,855 "," 2,992 ", 98.8 ," 13,692 ", 84.45 ," 11,705 ", 40.46 ," 5,609 ", 7.18 , 995 , 92.74 ," 12,854 ", 76.68 ," 10,628 ", 99.49 ," 13,790 ", 48.84 ," 6,770 ", 98.81 ," 13,696 ", 92.25 ," 12,787 ",Muy alto, 23.12 , 9.35 , 69.69 , 7.37 , 66.98 , 0.57 , 11.53 , 99.10 , 6.68 , 94.52 , 78.64 ,Muy alto, 23.2 , 69.9 , 0.4 , 5.4 , 11.3 , 68.1 , 60.2 , 100.0 , 90.3 , 8.55 , 0.60 ," 78,234,275 "
20451,Santiago Apoala,NO," 1,019 ", 323 , 93.7 , 955 , 39.12 , 399 , 40.25 , 410 , 15.72 , 160 , 65.20 , 664 , 26.52 , 270 , 85.95 , 876 , 25.47 , 260 , 96.07 , 979 , 74.36 , 758 ,Muy alto, 34.18 , 1.53 , 66.76 , 16.19 , 13.62 , 0.93 , 56.35 , 78.33 , 2.79 , 85.76 , 79.57 ,Muy alto, 34.2 , 66.8 , 0.8 , 2.1 , 57.7 , 15.4 , 25.4 , 100.0 , 97.8 , 6.81 , 0.93 ," 4,866,595 "
20452,Santiago Apóstol,NO," 4,421 "," 1,150 ", 91.2 ," 4,035 ", 49.61 ," 2,194 ", 47.82 ," 2,115 ", 56.04 ," 2,479 ", 79.93 ," 3,535 ", 60.65 ," 2,683 ", 65.36 ," 2,891 ", 25.31 ," 1,119 ", 92.29 ," 4,082 ", 62.76 ," 2,776 ",Alto, 22.39 , 11.79 , 70.82 , 56.46 , 48.87 , 1.48 , 3.13 , 19.30 , 0.87 , 68.00 , 36.61 ,Muy alto, 22.4 , 70.8 , 0.6 , 0.7 , 3.5 , 50.0 , 33.6 , 100.0 , 94.4 , 33.57 , 0.35 ," 14,820,886 "
20453,Santiago Astata,NO," 3,918 "," 1,250 ", 53.9 ," 2,111 ", 12.48 , 489 , 22.04 , 864 , 20.66 , 810 , 70.99 ," 2,783 ", 26.87 ," 1,053 ", 98.59 ," 3,865 ", 39.87 ," 1,563 ", 53.95 ," 2,115 ", 16.55 , 649 ,Medio, 9.66 , 4.17 , 43.87 , 22.08 , 7.28 , 7.12 , 5.84 , 95.68 , 4.64 , 57.36 , 25.68 ,Alto, 9.7 , 43.9 , 6.8 , 4.1 , 5.3 , 7.0 , 31.7 , 100.0 , 84.5 , 1.44 , 0.64 ," 6,843,631 "
20454,Santiago Atitlán,SI," 3,556 ", 883 , 93.2 ," 3,318 ", 47.08 ," 1,675 ", 37.05 ," 1,318 ", 24.19 , 861 , 87.69 ," 3,120 ", 36.33 ," 1,293 ", 85.85 ," 3,054 ", 28.51 ," 1,014 ", 93.65 ," 3,332 ", 67.68 ," 2,408 ",Alto, 20.61 , 11.48 , 58.54 , 24.44 , 25.25 , 1.13 , 2.83 , 29.45 , 3.28 , 94.68 , 73.39 ,Alto, 20.6 , 58.6 , 0.4 , 2.5 , 1.9 , 24.7 , 37.8 , 100.0 , 91.8 , 15.63 , 0.34 ," 14,580,295 "
20455,Santiago Ayuquililla,NO," 2,904 ", 762 , 86.5 ," 2,513 ", 37.97 ," 1,103 ", 36.47 ," 1,059 ", 23.18 , 673 , 82.61 ," 2,400 ", 30.89 , 897 , 77.56 ," 2,253 ", 36.89 ," 1,072 ", 87.68 ," 2,547 ", 53.49 ," 1,554 ",Medio, 10.89 , 6.16 , 62.76 , 23.28 , 7.61 , 16.01 , 11.29 , 25.98 , 1.44 , 46.85 , 36.09 ,Alto, 10.9 , 62.9 , 15.4 , 1.1 , 10.2 , 7.9 , 42.3 , 100.0 , 96.0 , 2.10 , 0.39 ," 8,242,165 "
20456,Santiago Cacaloxtepec,NO," 1,667 ", 484 , 65.6 ," 1,094 ", 16.83 , 281 , 35.88 , 599 , 33.79 , 564 , 74.04 ," 1,235 ", 14.61 , 244 , 48.89 , 815 , 22.38 , 373 , 67.43 ," 1,125 ", 28.70 , 479 ,Bajo, 20.32 , 3.54 , 57.03 , 34.25 , 3.10 , 5.58 , 3.72 , 5.17 , 0.62 , 52.89 , 25.21 ,Alto, 20.3 , 57.1 , 4.1 , 0.4 , 3.7 , 3.1 , 27.9 , 100.0 , 89.7 , 1.03 , -   ," 4,251,928 "
20457,Santiago Camotlán,NO," 3,346 ", 900 , 94.3 ," 3,157 ", 46.71 ," 1,564 ", 41.70 ," 1,396 ", 39.24 ," 1,314 ", 89.27 ," 2,989 ", 30.67 ," 1,027 ", 60.27 ," 2,018 ", 27.93 , 935 , 95.36 ," 3,193 ", 72.32 ," 2,421 ",Alto, 11.23 , 6.04 , 69.28 , 38.58 , 23.89 , 0.89 , 2.33 , 31.33 , 1.22 , 85.56 , 58.67 ,Alto, 11.3 , 69.5 , 0.8 , 1.2 , 2.0 , 23.3 , 31.2 , 100.0 , 94.0 , 0.89 , 0.45 ," 19,355,112 "
20458,Santiago Comaltepec,NO," 1,157 ", 340 , 84.1 , 974 , 8.74 , 101 , 24.60 , 285 , 9.38 , 109 , 77.08 , 893 , 7.61 , 88 , 24.60 , 285 , 11.33 , 131 , 87.86 ," 1,017 ", 54.00 , 625 ,Bajo, 10.40 , 0.61 , 56.65 , 9.25 , 4.71 , 2.94 , 1.18 , 5.29 , 0.59 , 50.29 , 14.12 ,Medio, 10.4 , 56.6 , 0.8 , 0.3 , 0.5 , 4.4 , 19.7 , 100.0 , 89.5 , 2.06 , -   ," 3,738,631 "
20459,Santiago Chazumba,NO," 4,877 "," 1,590 ", 66.1 ," 3,227 ", 14.99 , 732 , 21.82 ," 1,064 ", 28.33 ," 1,382 ", 56.03 ," 2,734 ", 10.53 , 514 , 41.37 ," 2,019 ", 17.09 , 834 , 71.71 ," 3,499 ", 39.62 ," 1,933 ",Bajo, 6.25 , 3.49 , 42.64 , 34.32 , 2.52 , 4.09 , 11.70 , 12.45 , 2.45 , 54.53 , 28.93 ,Medio, 6.3 , 42.7 , 2.8 , 2.0 , 10.4 , 2.2 , 20.6 , 100.0 , 84.9 , 0.71 , -   ," 8,226,406 "
20460,Santiago Choápam,NO," 5,242 "," 1,389 ", 95.5 ," 5,009 ", 58.76 ," 3,081 ", 41.33 ," 2,167 ", 22.10 ," 1,159 ", 89.28 ," 4,682 ", 25.37 ," 1,330 ", 89.01 ," 4,668 ", 47.17 ," 2,474 ", 95.87 ," 5,027 ", 77.28 ," 4,053 ",Alto, 20.88 , 8.57 , 69.45 , 26.61 , 19.80 , 1.22 , 5.47 , 55.44 , 4.18 , 85.53 , 54.64 ,Alto, 20.9 , 69.5 , 0.5 , 3.3 , 4.6 , 20.6 , 39.1 , 100.0 , 94.5 , 4.63 , 0.51 ," 22,266,878 "
20461,Santiago del Río,NO, 527 , 188 , 82.5 , 435 , 34.58 , 182 , 49.13 , 259 , 22.14 , 117 , 45.44 , 239 , 32.62 , 172 , 56.89 , 300 , 25.83 , 136 , 91.62 , 483 , 66.92 , 353 ,Medio, 22.71 , 7.81 , 78.02 , 22.39 , 17.02 , 5.32 , 1.06 , 11.70 , 3.19 , 51.06 , 33.51 ,Alto, 22.7 , 78.0 , 4.4 , 4.0 , 0.6 , 19.4 , 23.4 , 100.0 , 92.5 , 3.72 , 2.13 ," 3,801,245 "
20462,Santiago Huajolotitlán,NO," 4,600 "," 1,249 ", 51.5 ," 2,368 ", 12.56 , 578 , 23.49 ," 1,081 ", 41.63 ," 1,916 ", 71.06 ," 3,270 ", 12.14 , 559 , 40.63 ," 1,870 ", 21.39 , 984 , 53.86 ," 2,479 ", 20.17 , 928 ,Bajo, 5.69 , 7.74 , 42.45 , 41.33 , 5.04 , 3.60 , 2.56 , 10.17 , 1.12 , 34.75 , 20.74 ,Bajo, 5.7 , 42.5 , 3.0 , 1.1 , 2.4 , 5.2 , 23.8 , 100.0 , 86.6 , 1.84 , 0.16 ," 7,095,816 "
20463,Santiago Huauclilla,NO, 525 , 193 , 89.1 , 468 , 22.41 , 118 , 33.14 , 174 , 29.22 , 153 , 66.27 , 348 , 15.29 , 80 , 62.94 , 330 , 4.90 , 26 , 92.21 , 484 , 65.65 , 345 ,Medio, 6.15 , 9.09 , 61.73 , 28.19 , 13.47 , 5.70 , 4.66 , 40.93 , 2.07 , 65.80 , 38.34 ,Medio, 6.2 , 61.7 , 5.2 , 1.4 , 5.6 , 12.0 , 15.0 , 100.0 , 98.1 , 2.07 , 2.59 ," 3,318,526 "
20464,Santiago Ihuitlán Plumas,NO, 341 , 115 , 92.9 , 317 , 29.43 , 100 , 28.92 , 99 , 16.92 , 58 , 74.15 , 253 , 8.00 , 27 , 35.69 , 122 , 39.08 , 133 , 98.00 , 334 , 83.73 , 286 ,Medio, 13.94 , 3.03 , 57.37 , 16.13 , 7.83 , 5.22 , 5.22 , 8.70 , -   , 54.78 , 36.52 ,Medio, 14.0 , 57.6 , 4.9 , -   , 4.9 , 5.2 , 15.7 , 100.0 , 98.5 , 1.74 , 0.87 ," 2,089,332 "
20465,Santiago Ixcuintepec,NO," 1,636 ", 411 , 95.4 ," 1,561 ", 28.43 , 465 , 35.69 , 584 , 9.91 , 162 , 82.95 ," 1,358 ", 34.15 , 559 , 41.66 , 682 , 13.97 , 229 , 96.41 ," 1,578 ", 76.10 ," 1,246 ",Alto, 18.39 , 9.44 , 69.04 , 10.21 , 20.68 , 2.43 , -   , 3.16 , 3.16 , 75.18 , 66.67 ,Alto, 18.4 , 69.0 , 2.4 , 2.1 , -   , 22.0 , 38.4 , 100.0 , 95.5 , 3.41 , -   ," 5,106,682 "
20466,Santiago Ixtayutla,SI," 13,880 "," 3,149 ", 96.8 ," 13,437 ", 72.55 ," 10,074 ", 48.37 ," 6,717 ", 14.62 ," 2,029 ", 92.62 ," 12,861 ", 58.43 ," 8,114 ", 93.59 ," 12,997 ", 48.91 ," 6,792 ", 97.01 ," 13,471 ", 82.90 ," 11,511 ",Muy alto, 32.66 , 12.73 , 74.34 , 14.74 , 40.68 , 1.49 , 13.27 , 52.43 , 7.49 , 91.87 , 65.48 ,Muy alto, 32.7 , 74.4 , 1.2 , 7.1 , 13.8 , 41.8 , 54.4 , 100.0 , 96.5 , 0.51 , 3.68 ," 63,685,719 "
20467,Santiago Jamiltepec,NO," 19,112 "," 5,500 ", 66.3 ," 14,185 ", 25.21 ," 5,398 ", 30.33 ," 6,494 ", 57.29 ," 12,267 ", 80.98 ," 17,338 ", 21.38 ," 4,578 ", 75.05 ," 16,070 ", 40.63 ," 8,700 ", 66.92 ," 14,327 ", 30.29 ," 6,486 ",Medio, 14.26 , 5.21 , 49.65 , 31.52 , 10.89 , 5.36 , 8.91 , 8.65 , 2.31 , 59.25 , 25.11 ,Medio, 14.3 , 49.7 , 4.4 , 1.6 , 8.2 , 10.2 , 30.1 , 45.7 , 86.8 , 1.88 , 0.55 ," 37,846,052 "
20468,Santiago Jocotepec,SI," 14,198 "," 3,375 ", 88.1 ," 13,481 ", 51.60 ," 7,898 ", 38.91 ," 5,956 ", 43.92 ," 6,723 ", 91.87 ," 14,063 ", 20.43 ," 3,127 ", 94.08 ," 14,400 ", 71.58 ," 10,956 ", 88.18 ," 13,498 ", 56.75 ," 8,687 ",Alto, 24.50 , 11.21 , 69.32 , 25.64 , 17.75 , 1.99 , 4.77 , 55.67 , 2.16 , 83.02 , 43.35 ,Alto, 24.5 , 69.3 , 1.5 , 1.7 , 4.8 , 17.3 , 29.6 , 100.0 , 97.3 , 0.44 , 0.53 ," 47,929,353 "
20469,Santiago Juxtlahuaca,SI," 34,735 "," 7,517 ", 82.3 ," 28,562 ", 42.62 ," 14,797 ", 31.51 ," 10,940 ", 45.55 ," 15,815 ", 86.03 ," 29,870 ", 33.31 ," 11,567 ", 64.92 ," 22,540 ", 34.93 ," 12,126 ", 83.50 ," 28,991 ", 58.30 ," 20,243 ",Alto, 20.11 , 6.67 , 53.70 , 32.39 , 24.37 , 10.48 , 2.87 , 24.07 , 4.06 , 61.33 , 48.49 ,Alto, 20.1 , 53.8 , 11.4 , 3.9 , 2.7 , 25.9 , 40.2 , 69.5 , 85.8 , 2.82 , 1.22 ," 103,237,375 "
20470,Santiago Lachiguiri,NO," 4,394 "," 1,420 ", 80.7 ," 3,547 ", 19.38 , 852 , 39.49 ," 1,736 ", 16.66 , 732 , 78.40 ," 3,446 ", 26.90 ," 1,182 ", 69.23 ," 3,043 ", 23.54 ," 1,035 ", 81.66 ," 3,590 ", 36.77 ," 1,616 ",Alto, 13.68 , 4.72 , 62.40 , 17.07 , 18.17 , 6.06 , 1.06 , 9.65 , 5.63 , 85.07 , 59.86 ,Alto, 13.7 , 62.5 , 4.3 , 4.7 , 0.8 , 17.4 , 30.3 , 100.0 , 96.4 , 3.86 , 0.28 ," 14,252,803 "
20471,Santiago Lalopa,NO, 431 , 126 , 92.6 , 399 , 14.36 , 62 , 29.35 , 127 , 11.19 , 48 , 88.31 , 381 , 8.21 , 35 , 24.38 , 105 , 13.18 , 57 , 93.60 , 403 , 68.92 , 297 ,Medio, 7.04 , 3.64 , 55.13 , 11.14 , 7.94 , 0.79 , -   , -   , 0.79 , 80.95 , 46.03 ,Medio, 7.0 , 55.1 , -   , 0.5 , -   , 5.7 , 31.7 , 100.0 , 97.3 , -   , 0.79 ," 2,597,707 "
20472,Santiago Laollaga,NO," 3,361 "," 1,115 ", 50.7 ," 1,705 ", 9.53 , 320 , 22.62 , 761 , 17.25 , 580 , 46.77 ," 1,573 ", 17.76 , 597 , 46.44 ," 1,562 ", 16.56 , 557 , 60.85 ," 2,046 ", 21.90 , 736 ,Bajo, 8.75 , 3.48 , 38.15 , 18.12 , 4.48 , 2.69 , 4.48 , 2.69 , 0.72 , 55.87 , 18.83 ,Bajo, 8.8 , 38.4 , 1.9 , 0.5 , 4.7 , 4.7 , 18.4 , 100.0 , 78.6 , 1.25 , 0.18 ," 6,502,620 "
